cat_name,desc,price
Not Used,PLU PROPANE BUY,49.99
Cigarettes,CB PM  MERIT KING,26.84
Cigarettes,CB PM  MERIT KING BOX,26.84
Cigarettes,CB PM  MERIT 100,26.84
Cigarettes,CB PM  MERIT MEN KING,26.84
Cigarettes,CB PM  MERIT ULTIMA KING,26.84
Cigarettes,CB PM  MERIT ULTIMA 100,26.84
Cigarettes,CB PM  MERIT UL KING,26.84
Cigarettes,CB PM  MERIT UL 100,26.84
Cigarettes,CB PM  MERIT UL MEN,26.84
Cigarettes,CB PM  MERIT UL KING BOX,26.84
Cigarettes,CB PM  MERIT UL 100 BOX,26.84
Cigarettes,CB PM  PARLIAMENT LT KING,26.84
Cigarettes,CB PM  PARLIAMENT LT 100,26.84
Cigarettes,CB PM  PARLIAMENT LT MEN KING BOX,26.84
Cigarettes,CB PM  PARLIAMENT LT MEN 100 BOX,26.84
Cigarettes,CB PM  PARLIAMENT LT KING BOX,26.84
Cigarettes,CB PM  PARLIAMENT LT 100 BOX,26.84
Cigarettes,PLU CIG PREMIUM CARTON SM,26.84
Cigarettes,CG PM  ALPINE MEN KING,23.86
Cigarettes,CG PM  ALPINE MEN 100,23.86
Cigarettes,CG PM  ALPINE LT MEN KING,23.86
Cigarettes,CG PM  ALPINE LT MEN 100,23.86
Cigarettes,CG LOR OLD GOLD KING,23.86
Cigarettes,CG LOR OLD GOLD KING BOX,23.86
Cigarettes,CG LOR OLD GOLD 100,23.86
Cigarettes,CG LOR OLD GOLD LT KING,23.86
Cigarettes,CG LOR OLD GOLD LT KING BOX,23.86
Cigarettes,CG B&W VICEROY KING,23.86
Cigarettes,CG B&W VICEROY LT KING,23.86
Cigarettes,CG PM  CAMBRIDGE KING,23.86
Cigarettes,CG PM  CAMBRIDGE 100,23.86
Cigarettes,CG PM  CAMBRIDGE LT KING,23.86
Cigarettes,CG PM  CAMBRIDGE LT 100,23.86
Cigarettes,CG PM  CAMBRIDGE LT MEN KING,23.86
Cigarettes,CG PM  CAMBRIDGE LT MEN 100,23.86
